#Taxa	NovC1	NovC2	NovC3	NovC4	NovC5	NovC6	NovC7	NovC8	NovC9	NovC10	JanC1	JanC2	JanC3	JanC4	JanC5	JanC6	JanC7	JanC8	JanC9	MarC1	MarC2	MarC3	MarC5	MarC6	MarC7	MarC8	MarC9	Taxonomy
OTU_295	0	0	62	0	1	101	0	7	16	3	6	3	18	4	24	69	21	37	56	21	33	69	11	10	23	48	7	k__Bacteria;p__Tenericutes;c__Mollicutes;o__;f__;g__;s__
OTU_296	140	163	31	58	8	6	1	23	1	200	16	11	5	23	23	23	29	29	50	6	16	3	11	2	10	44	36	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
OTU_297	0	7	4	0	0	0	1	2	7	4	0	0	0	0	0	0	0	0	1	8	21	0	10	11	3	5	4	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__unidentified_Lachnospiraceae;s__bacterium_FC2009
OTU_298	0	43	9	0	0	0	0	0	2	44	2	158	0	0	3	8	14	7	8	0	1	0	53	0	44	51	66	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
OTU_299	148	2	14	1	28	8	0	4	44	0	5	4	3	23	0	0	0	0	0	2	0	9	7	0	0	13	6	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_300	25	119	99	40	12	26	24	237	81	164	5	1	0	2	2	3	3	1	10	17	15	19	53	11	29	20	31	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__
OTU_301	3	36	24	15	7	26	29	4	36	16	6	10	8	6	30	7	8	21	10	25	45	24	23	15	23	16	9	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
OTU_302	8	1	21	23	10	3	8	39	9	11	0	0	1	0	0	1	0	2	0	6	2	7	11	6	4	5	4	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetitomaculum;s__
OTU_303	14	12	13	2	19	19	5	22	15	12	97	47	16	71	57	26	43	29	55	20	9	6	14	8	11	11	6	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Saccharofermentans;s__
OTU_304	0	45	274	0	0	0	27	0	199	1	14	4	3	7	15	4	29	25	1	4	6	40	8	7	11	5	14	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__;s__
OTU_305	2	2	4	3	3	5	4	1	9	9	10	26	15	9	54	23	53	35	15	19	12	12	17	10	4	6	2	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_306	2	6	110	4	5	44	27	2	1	84	10	15	14	8	75	37	10	15	0	27	55	19	29	51	12	32	5	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
OTU_307	11	1	24	16	55	48	3	2	40	35	12	9	23	7	5	10	5	9	21	13	12	4	11	8	0	19	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__
OTU_308	220	236	14	37	185	19	17	175	29	75	10	2	4	12	6	3	10	5	17	0	0	13	14	10	10	4	14	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
OTU_309	4	0	8	1	0	9	78	0	0	14	82	18	28	4	26	15	20	61	29	13	28	29	1	56	1	25	4	k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;s__
OTU_310	9	25	15	16	10	20	23	6	14	41	2	8	8	3	9	8	11	9	3	32	17	10	28	20	19	22	4	k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Pyramidobacter;s__
OTU_311	56	51	78	16	50	65	46	28	43	93	30	11	17	14	16	15	5	10	17	27	8	32	63	22	46	27	20	k__Bacteria;p__Tenericutes;c__Mollicutes;o__;f__;g__;s__
OTU_312	10	17	27	3	45	56	4	12	8	47	57	26	42	53	12	8	4	31	25	24	21	22	21	21	86	19	20	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_313	2	0	1	0	2	6	3	2	0	2	4	3	6	3	11	0	3	3	3	6	3	4	10	20	7	2	4	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_314	6	28	21	10	67	78	12	6	10	5	25	2	7	15	3	9	1	12	9	0	6	9	2	1	0	3	22	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_315	2	0	0	94	1	0	3	0	0	3	29	4	4	95	4	1	7	3	2	0	3	0	5	1	0	1	1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__
OTU_316	9	3	12	11	10	8	53	0	8	11	21	13	8	21	25	12	16	19	62	5	21	20	5	4	2	8	4	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma;s__
OTU_317	81	6	147	0	15	34	136	21	0	419	14	20	0	5	8	0	9	2	13	0	2	0	4	15	13	44	3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_318	15	56	71	33	42	42	17	22	45	56	24	38	34	30	26	67	8	58	25	48	75	131	78	26	55	27	36	k__Bacteria;p__Tenericutes;c__Mollicutes;o__;f__;g__;s__
OTU_319	1	16	23	10	7	25	16	3	16	9	7	6	2	1	2	2	4	3	12	24	35	6	7	13	1	4	1	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__unidentified_Spirochaetaceae
OTU_320	67	22	64	6	16	44	39	11	116	31	9	6	1	7	6	11	7	9	18	35	14	6	20	18	4	9	7	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__unidentified_Spirochaetaceae;s__Treponema_bryantii
OTU_321	66	0	26	18	46	24	35	3	37	102	1	2	0	1	2	4	4	5	4	28	22	26	25	21	9	27	3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_322	0	0	0	0	2	0	0	0	0	0	0	0	2	4	0	0	17	0	0	6	9	465	2	7	18	22	3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
OTU_323	1	13	4	0	3	2	0	0	1	2	1	2	0	0	0	6	1	2	2	10	3	4	14	37	3	3	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_324	4	6	2	0	0	36	2	7	4	12	37	27	28	44	19	20	0	37	10	28	13	24	8	3	3	1	13	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_325	21	5	12	1	8	7	8	8	13	4	13	3	3	15	9	23	3	10	10	1	14	13	7	2	5	5	4	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma;s__
OTU_326	11	20	37	18	13	45	27	8	33	47	18	17	17	22	14	25	31	36	10	48	38	20	35	24	28	54	29	k__Bacteria;p__Tenericutes;c__Mollicutes;o__;f__;g__;s__
OTU_327	16	1	17	1	18	6	3	3	3	23	8	8	15	6	2	22	1	8	0	11	3	19	26	21	3	21	3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__unidentified_Prevotellaceae;s__Prevotella_sp_RM17
OTU_328	34	20	18	0	28	71	6	35	22	19	10	43	5	30	7	36	18	13	17	12	53	13	25	77	4	25	29	k__Bacteria;p__Kiritimatiellaeota;c__Kiritimatiellae;o__;f__;g__;s__
OTU_329	15	14	5	8	15	34	34	5	0	87	2	11	52	3	0	4	86	4	21	10	11	10	64	8	28	12	13	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_330	3	8	3	11	22	102	9	23	13	17	10	14	35	31	6	136	36	19	10	12	136	55	55	28	3	21	8	k__Bacteria;p__Kiritimatiellaeota;c__Kiritimatiellae;o__;f__;g__;s__
OTU_331	0	13	16	2	1	19	81	2	6	5	5	2	8	5	4	40	3	0	2	6	5	6	2	1	2	3	3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
OTU_332	5	3	0	1	11	5	4	0	27	3	0	0	0	0	0	3	6	0	0	0	0	2	0	4	0	2	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__
OTU_333	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Shuttleworthia;s__
OTU_334	4	3	29	0	7	70	39	1	6	19	2	0	0	6	2	12	1	9	13	1	27	8	4	13	5	4	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__
OTU_335	37	24	5	45	16	1	43	74	11	33	28	26	13	51	32	10	95	16	23	9	33	29	116	45	99	84	11	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_336	0	0	0	0	0	2	7	6	0	3	0	13	0	1	3	0	0	4	5	11	1	8	1	0	2	0	4	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella;s__
OTU_337	10	192	2	29	16	122	120	33	123	87	15	39	5	36	3	13	22	5	85	21	11	44	10	7	18	21	69	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
OTU_338	26	47	41	5	5	57	59	3	21	21	10	8	5	11	11	4	14	14	14	13	11	6	11	4	8	1	3	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__unidentified_Ruminococcaceae;s__bacterium_MD3002
OTU_339	0	3	15	0	1	4	13	1	2	3	0	0	1	0	6	4	1	4	0	0	0	2	0	0	0	9	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Suttonella
OTU_340	20	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__unidentified_Prevotellaceae
OTU_341	5	15	16	7	3	10	27	18	14	37	1	7	0	2	4	4	4	1	0	4	15	4	9	6	4	2	3	k__Bacteria;p__unidentified_Bacteria;c__unidentified_Bacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter
OTU_342	39	59	40	1	0	6	19	5	6	14	6	4	9	2	10	1	19	21	4	20	11	13	10	6	28	12	3	k__Bacteria;p__Tenericutes;c__Mollicutes;o__;f__;g__;s__
OTU_343	0	0	3	3	2	4	6	0	24	3	0	2	1	0	1	0	0	0	0	2	15	6	5	8	0	4	1	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetitomaculum;s__
OTU_344	5	4	15	3	31	20	16	11	15	5	47	20	12	15	15	4	2	10	20	0	20	6	0	0	37	2	2	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Saccharofermentans;s__
