#Taxa	NovC1	NovC2	NovC3	NovC4	NovC5	NovC6	NovC7	NovC8	NovC9	NovC10	JanC1	JanC2	JanC3	JanC4	JanC5	JanC6	JanC7	JanC8	JanC9	MarC1	MarC2	MarC3	MarC5	MarC6	MarC7	MarC8	MarC9	Taxonomy
OTU_382	0	15	0	0	2	9	0	0	0	0	0	0	3	6	63	0	0	0	0	19	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
OTU_383	2	21	8	20	5	11	6	1	28	6	11	18	22	20	53	46	33	35	18	17	22	2	21	28	6	6	10	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_384	16	16	9	32	105	0	25	33	29	11	0	20	5	3	3	13	37	8	5	12	77	23	66	104	25	18	3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_385	5	4	13	0	8	23	2	14	1	6	15	9	4	0	14	4	3	1	27	3	8	7	10	2	2	0	20	k__Bacteria
OTU_386	1	1	8	15	5	14	8	4	9	19	76	48	63	41	71	49	47	57	50	3	27	11	2	6	25	11	4	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__unidentified_Lachnospiraceae
OTU_387	0	4	16	0	19	137	21	1	4	45	165	27	84	47	30	4	22	20	72	0	18	27	0	0	2	21	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_388	2	150	9	4	74	58	17	5	12	29	4	4	1	1	2	0	77	3	5	4	14	4	9	2	18	3	18	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__unidentified_Bacteroidales;g__unidentified_Bacteroidales;s__bacterium_P201
OTU_389	0	4	0	0	0	0	0	0	1	2	16	21	11	30	8	6	4	10	11	4	8	4	9	0	9	4	3	k__Bacteria;p__Proteobacteria
OTU_390	8	2	0	5	112	0	5	2	22	10	35	12	8	12	6	13	12	3	66	20	4	18	21	4	11	5	12	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma;s__
OTU_391	14	31	15	18	12	43	30	7	40	27	12	22	13	3	27	17	20	19	10	13	11	8	10	6	11	0	2	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__unidentified_Ruminococcaceae;s__Ruminococcaceae_bacterium_NK4B32
OTU_392	0	3	8	21	10	19	8	4	9	4	1	3	2	0	7	24	3	9	2	0	1	2	0	1	0	2	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_393	0	6	3	25	199	61	0	0	0	0	12	10	16	1	4	9	60	19	3	2	7	8	17	47	47	1	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_394	22	6	1	11	25	23	30	0	6	26	41	43	67	0	3	16	8	11	0	3	122	45	22	21	8	29	5	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_395	23	6	28	1	7	13	25	5	7	13	16	6	0	2	6	11	3	8	6	8	4	8	7	0	1	15	3	k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__
OTU_396	2	2	23	4	4	20	8	0	20	6	3	12	4	10	13	10	4	4	6	1	7	8	2	1	11	15	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_397	19	12	20	3	14	17	14	9	40	21	10	6	3	17	5	17	5	8	24	63	24	19	12	33	13	10	8	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae
OTU_398	5	14	4	5	6	12	3	10	3	5	22	47	9	14	6	9	8	7	20	3	17	5	13	4	10	7	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__unidentified_Lachnospiraceae;s__rumen_bacterium_NK2A1
OTU_399	11	1	66	0	15	8	0	2	2	1	8	7	12	0	0	15	2	4	19	40	15	1	40	3	7	6	16	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__
OTU_400	2	17	9	15	23	16	34	8	29	8	11	20	4	3	8	8	3	9	18	7	23	23	6	5	24	10	6	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_401	2	0	29	2	48	11	13	1	14	27	31	5	4	8	18	84	2	23	7	0	5	29	1	8	12	46	0	k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__
OTU_402	6	4	20	1	0	6	0	3	2	4	0	0	0	0	0	1	1	0	0	0	1	14	1	20	4	2	2	k__Bacteria;p__Actinobacteria;c__unidentified_Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium
OTU_403	8	31	16	2	12	28	22	9	22	16	14	7	9	2	17	9	10	13	10	19	7	6	32	17	17	3	5	k__Bacteria
OTU_404	50	12	31	24	8	49	1	29	4	11	40	11	9	12	9	43	19	37	40	21	19	14	6	4	21	18	16	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_405	8	30	14	8	6	41	6	1	15	17	45	39	29	21	82	98	72	30	13	7	26	17	7	6	15	33	6	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__unidentified_Ruminococcaceae;s__[Clostridium]_papyrosolvens
OTU_406	15	22	8	0	22	37	78	28	17	51	11	2	0	29	11	18	13	79	18	0	8	6	13	170	53	36	6	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
OTU_407	0	14	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	19	94	1	1	13	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__
OTU_408	6	8	11	73	12	38	10	3	18	68	6	3	3	4	50	0	7	0	0	0	9	0	1	0	9	0	11	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
OTU_409	0	12	44	60	9	16	0	0	0	0	3	6	6	3	5	10	32	0	3	20	3	3	2	0	34	6	5	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__;s__
OTU_410	0	0	5	15	0	9	0	0	14	6	3	8	2	2	5	9	0	10	47	3	7	25	7	3	1	5	31	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_411	31	7	13	0	5	11	0	22	0	1	5	11	8	23	3	1	2	9	7	2	3	13	7	10	0	7	3	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae
OTU_412	6	22	0	36	10	10	20	19	71	10	8	14	7	6	8	6	22	1	23	6	0	2	1	11	4	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Saccharofermentans;s__
OTU_413	24	3	9	0	117	0	11	21	15	8	15	4	9	26	1	22	20	15	8	2	8	15	3	8	12	4	7	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
OTU_414	2	2	0	15	0	3	1	0	0	2	72	26	5	2	5	4	2	4	24	0	84	28	3	3	32	4	5	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
OTU_415	20	22	6	1	9	157	61	70	2	20	586	0	3	88	0	0	1	0	3	0	0	0	0	0	0	1	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_416	67	29	14	10	14	48	30	55	49	17	15	3	11	5	11	8	8	20	8	4	6	10	5	11	8	9	15	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_417	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium;s__
OTU_418	0	0	4	0	1	10	1	0	48	7	0	0	0	0	1	0	0	0	0	5	1	0	5	13	0	5	3	k__Bacteria;p__Tenericutes;c__Mollicutes;o__;f__;g__;s__
OTU_419	4	6	8	5	11	31	5	2	36	29	6	5	8	12	7	27	41	11	5	3	5	2	13	11	18	11	13	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella
OTU_420	8	38	38	2	22	19	5	0	27	17	0	6	4	2	6	0	9	5	7	14	10	6	13	14	3	0	7	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
OTU_421	0	0	1	14	48	17	209	14	31	90	3	2	25	5	0	0	0	0	5	32	37	2	6	6	11	1	22	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__unidentified_Bacteroidales;g__unidentified_Bacteroidales;s__Bacteroidia_bacterium_feline_oral_taxon_141
OTU_422	0	0	0	7	1	19	9	0	5	9	2	1	1	2	2	0	40	15	7	2	46	0	0	0	118	0	10	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__
OTU_423	3	68	8	8	22	15	20	7	5	8	150	17	4	27	450	78	32	30	40	3	76	17	0	95	190	36	129	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_424	30	12	11	3	8	14	27	5	33	12	10	6	7	12	0	4	4	9	11	15	5	8	6	5	0	4	5	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__unidentified_Spirochaetaceae;s__Treponema_sp_JC4
OTU_425	6	10	2	3	7	4	0	8	5	2	6	7	2	3	1	4	6	0	5	4	8	8	6	6	5	11	6	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Schwartzia;s__
OTU_426	2	11	14	6	8	15	19	0	5	7	22	4	29	10	10	11	11	13	10	7	11	6	1	12	2	4	3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__unidentified_Prevotellaceae;s__bacterium_XPB4001
OTU_427	7	9	8	36	11	11	3	11	23	31	3	13	4	3	5	7	10	10	8	6	9	8	5	14	12	5	4	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
OTU_428	1	0	2	32	0	34	12	1	0	2	2	0	3	0	5	7	4	4	9	1	11	4	12	1	4	0	1	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_429	17	2	0	11	9	15	11	3	11	13	2	7	4	0	0	2	150	1	26	0	5	0	0	0	71	0	3	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_430	2	2	10	3	1	6	18	0	10	7	0	0	1	0	0	0	0	0	0	8	14	6	7	1	4	3	1	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia
OTU_431	26	37	28	10	15	26	20	18	15	35	5	5	5	2	5	10	7	8	9	28	4	4	20	9	2	2	5	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_432	93	0	3	0	1	11	0	1	22	2	0	1	0	20	4	0	0	4	8	0	0	0	0	0	0	2	6	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
OTU_433	3	4	7	8	16	2	5	65	7	12	5	0	1	21	0	1	0	3	3	2	0	2	0	0	0	1	0	k__Bacteria;p__Kiritimatiellaeota;c__Kiritimatiellae
OTU_434	0	16	0	0	0	3	2	0	0	0	6	6	25	14	34	34	20	0	23	2	13	34	1	30	7	25	4	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_435	4	2	25	60	13	4	12	26	5	2	2	4	1	3	5	0	3	11	2	3	8	5	4	4	8	2	4	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__;s__
OTU_436	24	2	28	5	3	25	104	21	26	37	31	41	38	14	14	25	20	22	71	27	38	42	6	17	4	28	9	k__Bacteria;p__Tenericutes;c__Mollicutes
OTU_437	11	19	59	11	36	21	3	13	64	16	15	16	7	9	12	10	16	13	4	8	14	14	5	17	7	12	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_438	0	0	20	16	1	0	4	4	0	2	124	0	9	226	0	0	1	0	0	0	24	3	0	0	4	0	0	k__Bacteria
OTU_439	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	239	2	0	6	0	0	2	0	0	0	3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__;s__
OTU_440	46	0	0	2	0	0	3	0	0	3	1	0	0	2	0	6	1	2	0	0	0	35	8	35	8	15	7	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__unidentified_Prevotellaceae
OTU_441	33	42	43	49	40	75	17	24	34	26	22	41	11	50	16	15	45	47	22	21	28	58	46	4	40	58	10	k__Bacteria;p__unidentified_Bacteria;c__unidentified_Bacteria;o__unidentified_Bacteria;f__unidentified_Bacteria;g__Candidatus_Saccharimonas;s__
OTU_442	7	3	0	13	5	5	2	0	2	19	2	29	1	7	2	9	16	13	7	2	39	8	2	134	6	2	2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__unidentified_Prevotellaceae;s__bacterium_P3
OTU_443	2	5	0	7	2	6	7	4	0	6	27	26	15	21	25	29	25	35	11	1	4	7	1	4	4	12	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_444	2	0	2	1	57	0	39	3	43	4	5	0	6	2	0	0	0	0	10	0	1	19	34	2	1	6	134	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
OTU_445	1	4	10	0	29	50	1	15	19	28	4	4	13	9	17	65	4	26	4	12	14	10	12	6	6	24	2	k__Bacteria;p__Tenericutes;c__Mollicutes;o__;f__;g__;s__
OTU_446	63	75	75	39	19	80	45	13	28	42	21	9	13	37	8	13	6	13	21	3	7	12	7	6	12	7	6	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_447	11	3	12	9	0	42	19	33	1	6	0	4	3	0	0	1	8	5	9	8	5	1	29	73	12	10	6	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_448	0	1	1	0	2	0	0	5	0	0	4	3	3	3	1	8	2	2	3	0	5	4	4	0	1	2	12	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__unidentified_Ruminococcaceae
OTU_449	0	64	0	3	2	0	35	1	28	1	0	4	1	0	0	4	16	1	10	14	14	1	0	2	20	2	3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	16	0	3	2	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__
OTU_451	2	6	14	1	10	21	6	3	11	7	2	7	3	3	9	8	10	2	1	0	3	4	2	4	1	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Papillibacter;s__
OTU_452	12	16	8	3	2	6	17	4	17	14	3	6	4	0	5	5	4	7	9	10	11	12	18	9	11	12	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae
OTU_453	3	0	5	2	1	2	4	6	0	1	8	24	30	40	14	9	35	25	15	0	0	0	0	2	4	2	1	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_454	2	0	0	0	45	0	0	13	8	13	15	0	0	2	3	0	0	10	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
OTU_455	2	7	3	0	1	1	6	11	32	11	6	6	0	6	10	16	9	9	5	4	5	20	32	12	21	8	4	k__Bacteria;p__Tenericutes;c__Mollicutes;o__;f__;g__;s__
OTU_456	0	3	8	6	5	4	5	1	32	7	0	2	0	0	0	0	1	2	0	18	51	10	22	31	5	14	6	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_457	3	10	2	1	7	8	7	7	2	11	10	24	45	38	65	89	54	41	9	84	62	73	91	58	42	98	9	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_458	2	6	4	1	21	11	5	4	20	22	70	33	31	18	42	59	41	57	12	1	3	6	3	8	0	3	3	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_459	12	13	14	36	5	21	16	26	9	15	9	16	11	7	25	15	23	21	8	15	17	12	20	13	18	16	8	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_460	8	2	2	0	20	0	3	4	0	0	10	0	0	0	0	5	0	0	0	4	0	10	4	0	0	2	0	k__Bacteria;p__Tenericutes;c__Mollicutes
OTU_461	5	2	5	8	31	36	5	1	66	0	8	0	2	7	15	2	4	6	0	3	3	4	73	189	33	18	18	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__unidentified_Prevotellaceae;s__bacterium_P3
OTU_462	1	0	1	1	20	15	3	1	0	6	5	1	0	6	5	5	4	3	0	0	9	8	0	0	1	1	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
OTU_463	5	10	5	3	3	11	12	3	11	6	4	2	3	3	6	4	5	7	4	8	2	4	0	4	3	3	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__unidentified_Clostridiales;g__Anaerovorax;s__
OTU_464	1	0	0	0	2	0	2	6	5	0	6	4	0	0	16	9	25	8	0	0	0	0	0	0	8	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_465	0	7	3	3	0	2	2	0	2	0	0	0	0	0	1	2	0	0	0	0	0	2	1	5	0	0	5	k__Bacteria;p__Cyanobacteria;c__unidentified_Cyanobacteria;o__unidentified_Cyanobacteria;f__unidentified_Cyanobacteria;g__unidentified_Cyanobacteria;s__Cercis_gigantea
OTU_466	1	5	5	1	7	13	5	7	8	6	52	28	0	42	16	29	25	19	28	3	10	6	6	15	11	6	3	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__unidentified_Lachnospiraceae;s__bacterium_AB2028
OTU_467	34	7	8	28	6	10	7	4	9	25	2	2	3	4	4	4	5	4	7	1	6	2	4	2	7	2	6	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__;s__
OTU_468	29	0	0	0	0	0	0	0	0	0	46	28	1	12	3	4	1	3	163	86	15	0	22	4	10	32	45	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__
OTU_469	23	59	31	66	94	51	29	33	55	63	32	56	13	59	26	25	31	29	39	7	101	47	42	28	58	69	60	k__Bacteria;p__unidentified_Bacteria;c__unidentified_Bacteria;o__unidentified_Bacteria;f__unidentified_Bacteria;g__Candidatus_Saccharimonas;s__
OTU_470	0	9	0	12	3	10	2	3	3	5	68	39	8	72	10	18	15	31	7	6	1	9	3	4	1	2	2	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_471	43	12	10	1	2	17	0	40	17	1	15	12	4	4	14	1	2	5	0	2	3	13	3	8	1	23	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__unidentified_Bacteroidales;g__unidentified_Bacteroidales;s__bacterium_P201
OTU_472	8	19	7	7	6	29	21	7	21	26	1	3	7	4	2	0	8	3	4	16	8	8	14	6	11	3	3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__;s__
OTU_473	1	11	10	14	9	12	19	4	23	9	2	4	9	1	11	6	0	2	3	6	13	6	5	8	9	4	5	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
OTU_474	0	9	2	0	3	3	3	2	17	2	5	0	0	2	0	0	0	0	0	46	23	0	9	7	10	1	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_475	2	11	13	10	9	17	21	6	60	31	0	3	0	6	1	1	3	2	3	29	40	10	26	27	18	11	17	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__unidentified_Clostridiales
OTU_476	16	47	12	20	35	51	15	41	24	60	6	4	2	12	1	6	3	6	12	2	9	3	2	6	9	11	4	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_477	0	0	2	0	0	0	0	0	0	0	0	0	0	3	2	0	2	0	0	8	25	0	4	0	3	1	2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__;s__
OTU_478	1	1	0	7	0	4	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__;s__
OTU_479	3	1	19	0	0	0	12	17	12	2	38	32	16	45	8	24	29	23	28	3	5	12	3	3	1	17	3	k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales
OTU_480	0	8	3	18	8	57	19	9	5	25	31	53	21	47	10	62	28	13	86	19	68	26	34	12	2	32	77	k__Bacteria;p__Lentisphaerae;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__;s__
OTU_481	2	221	0	0	48	0	0	11	2	81	4	0	0	2	24	3	2	0	1	23	0	0	28	0	2	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
OTU_482	46	37	22	12	8	131	9	18	10	46	14	9	8	5	3	16	6	0	5	3	18	12	4	8	0	14	26	k__Bacteria;p__Kiritimatiellaeota;c__Kiritimatiellae;o__;f__;g__;s__
OTU_483	4	2	1	6	0	0	1	2	0	3	3	96	0	0	40	0	45	9	2	8	13	156	10	2	7	9	5	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__
OTU_484	10	0	36	0	3	10	0	11	0	0	1	2	0	9	2	0	2	0	6	1	1	1	2	0	0	1	0	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__unidentified_Spirochaetaceae;s__Treponema_saccharophilum
OTU_485	0	1	3	1	5	6	5	0	9	6	0	4	8	1	5	9	8	2	5	7	3	6	7	5	0	1	4	k__Bacteria
OTU_486	0	6	6	9	5	5	3	7	20	6	6	3	6	14	5	16	8	5	11	2	2	3	5	3	8	7	2	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__unidentified_Lachnospiraceae
OTU_487	0	39	0	3	9	4	1	7	10	2	43	14	8	26	12	28	11	3	58	149	7	41	18	16	6	11	14	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__unidentified_Rikenellaceae;s__Bacteroidales_bacterium_RM68
OTU_488	0	0	0	1	0	3	1	0	1	0	4	0	0	0	2	0	0	0	0	0	15	0	3	0	13	2	2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_489	26	8	25	56	19	32	11	5	7	82	5	0	9	0	3	16	17	2	6	4	2	0	12	0	2	2	2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
OTU_490	1	5	7	0	29	5	9	13	3	6	0	34	8	0	4	6	154	8	0	1	46	6	5	5	4	4	19	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__
OTU_491	0	0	1	101	0	0	0	1	0	0	6	6	0	2	0	0	16	2	3	0	1	0	31	0	0	0	52	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_492	2	1	46	4	63	24	36	1	42	13	2	0	4	1	11	0	12	0	3	5	6	27	8	4	84	9	0	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma
OTU_493	0	0	0	1	7	0	12	1	0	0	5	2	0	0	3	1	3	3	0	25	11	0	1	0	0	1	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__;s__
OTU_494	17	0	0	0	0	0	17	0	16	0	0	0	0	11	5	0	0	0	0	45	0	0	18	1	0	1	14	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_495	0	9	16	2	3	11	2	21	8	18	2	0	0	4	1	0	1	0	1	3	20	2	2	0	0	3	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetitomaculum;s__
OTU_496	18	15	3	7	3	5	6	9	10	10	4	6	1	0	2	1	4	2	9	7	6	5	2	10	6	4	3	k__Bacteria;p__Planctomycetes;c__Planctomycetacia
OTU_497	0	0	0	38	4	36	5	0	57	17	8	58	0	3	2	2	0	2	0	0	4	2	0	0	1	0	15	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__
OTU_498	0	0	0	0	0	0	0	0	0	0	45	7	2	56	0	4	14	0	1	10	2	6	3	132	21	41	3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
OTU_499	5	0	0	0	3	128	10	0	3	65	14	20	9	16	2	27	20	10	12	10	1	5	5	38	0	6	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__
OTU_500	322	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__
