,NovC1,NovC2,NovC3,NovC4,NovC5,NovC6,NovC7,NovC8,NovC9,NovC10,JanC1,JanC2,JanC3,JanC4,JanC5,JanC6,JanC7,JanC8,JanC9,MarC1,MarC2,MarC3,MarC5,MarC6,MarC7,MarC8,MarC9
NovC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NovC2,0.0897108256163829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NovC3,2.47367365028445,-1.05963267071882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NovC4,-0.0806503840717324,-0.995053748642335,0.0842646550283759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NovC5,0.141624500725684,-2.00327138657595,1.77160606413721,-1.04312836607789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NovC6,0.626178013398145,-1.33912171668775,-0.243337174238396,-0.393573356988466,0.743809270654377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NovC7,-0.253869046887609,-1.28306894581964,0.578610643053337,-0.568012436094749,-1.30783002692477,-0.189164004160745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NovC8,-0.443824971151668,-0.603273654630811,0.0216014582133113,-0.135828688505026,-0.592670797051439,-0.8211451448298,-0.675694395339307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NovC9,-0.684150170522039,-0.694652768225113,1.12460801765047,-0.115944896671869,0.875033215365322,-0.460292837077604,-0.889430688054736,-0.524100511757664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NovC10,-0.0169055144847259,-0.174816810704263,0.436065321585623,-1.40676395572365,2.10861084016676,-0.941241109462167,-0.124007206422271,-0.317256325274544,-0.377625018909001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JanC1,1.06408333794904,-0.685750023488827,-0.00877928952452267,0.209116514613411,-0.939407052222287,0.687913106719208,0.11403898465006,0.159770535241266,0.231760790820938,1.13617809640793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JanC2,0.357029628996774,-0.466659429121237,0.886718072840801,-0.334774416952745,-3.33879065733481,0.151417118604471,0.274413603714061,-1.05855171672893,0.303424595454623,0.903978696246927,0.995959696719776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JanC3,7.94191820237083,2.04573367238585,2.70860105507906,-0.203335571392088,-1.19176178829927,0.105247400808771,-0.214138703299197,3.48858558974481,2.11326453159111,1.03303331433442,-1.37214323222943,-1.05445667456171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JanC4,0.9860466230144,0.740155465791558,1.44561711036846,0.730492805957652,0.701336591480885,3.7364685992391,0.966591343718743,1.11672565368205,0.925107454220408,0.286940873897137,0.631390976453585,-0.532264502396556,0.742314474453661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JanC5,1.84387856416721,1.78263833033748,0.599496234576932,0.334710753569676,-0.770020712771331,0.235029002646841,-0.43400572481863,0.251768973517804,1.12619500242672,-0.194323253645879,1.41304300044641,-1.46027136622994,-0.290427797138826,0.45811460681805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JanC6,0.236515077301235,-0.0902985175729459,-0.168699237212401,0.116682014215872,-0.125255071344582,-0.233140710986802,0.130365784643532,1.86031489293833,-0.0098967364452617,-1.01144254380259,1.27031929973807,-1.10388282202161,2.57019804453081,1.71773097426997,-0.442633081078261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JanC7,0.62367257233812,-0.516057468142745,-0.439042189759486,0.467552936718252,-1.23781532590933,-0.0986122554779918,-0.550873006860887,0.176487330620474,-0.00416669839271901,0.272168253270114,-0.417922062400816,-0.606585798956622,-0.828206812419989,-0.186921600624787,-0.334508829819193,-1.02645188642091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JanC8,1.13851698798799,-0.442161861141368,-0.0676668798314765,-0.899441011718467,-0.583028891257643,0.0248068512152157,-0.526084741401283,0.27633851174602,0.815475572531379,-0.665343943508619,0.322028400076799,-0.532320622119485,-0.97496269573216,-0.284576567300161,-0.656966461791733,-1.07456663791143,-1.12468650040286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JanC9,2.05842551465689,0.357458291992998,1.97137632667615,1.99010711709105,-1.90571865606941,0.280699314331448,0.427928134373997,-0.223871501121242,0.915362476608743,2.46236183240844,0.307772481117457,0.892780697279118,0.120544419966067,0.305471679656176,0.0372106668206705,1.99498644423569,-0.598880438677728,-0.133633379320004,NA,NA,NA,NA,NA,NA,NA,NA,NA
MarC1,-0.950087315258687,-1.31852511248647,-0.161544282538188,-1.16511868964502,-0.72639622036107,-0.981201042871561,-1.1993177883625,-0.469261383618921,-0.877904115074596,-1.3202767366282,-0.280802973291829,-1.21102336577333,8.71636589137069,-0.195527439509004,-0.371196370048687,-0.713472136343127,-0.857731466624883,0.594949669086306,0.741934855742978,NA,NA,NA,NA,NA,NA,NA,NA
MarC2,-0.886009832211272,-1.07633967117601,-1.20540449385513,-0.971955244950068,-1.09063411710061,-0.793060857730072,-0.642527332278243,-0.368355545791403,-0.823456647800811,-0.866065184115684,-0.661304421981899,-0.813074840598827,1.47921834269232,0.285028850339055,0.885590246126741,-0.0527627098298291,-0.883020089797801,-0.571050173530155,0.233169852449129,-0.340933085450974,NA,NA,NA,NA,NA,NA,NA
MarC3,-1.00721149992153,-0.684067848984629,-0.813597222287383,-0.831400596583334,-1.086019162301,-0.768039567496745,-1.0190194548363,0.471763127765581,-0.606868733208957,-1.02282565003696,-0.395308571211617,-1.01601788413709,0.606857026032485,1.30166290099453,0.242433838326239,-0.474640316133738,-0.724817397057056,0.240961260063996,0.672317810861836,0.0296230094431414,-0.6518085012176,NA,NA,NA,NA,NA,NA
MarC5,-0.28793882681642,-0.662238812438051,-0.826435118078116,-1.15774762633584,-0.941140805663261,-0.819542178217096,-1.09729106032601,-0.127959828595093,-0.896460783565852,-0.764172330864366,-0.505534461450014,-1.01875848734716,1.19936890103183,-0.485161038351447,-1.97165777952736,-1.30758273521374,-0.772022158734589,-0.646920889450917,-0.381896987905364,-0.707501123281284,-1.13371269034226,-0.931054525612067,NA,NA,NA,NA,NA
MarC6,-0.780534287586689,-0.943662798460914,0.537384016472976,-1.40127795381193,-0.0324066032392741,-0.406691192909703,-0.876109062679503,0.0718268321135406,-0.67246499551735,-0.841818580133601,0.357569438085795,-1.15535447223662,10.600973579312,0.543144842339031,0.486273281539969,-0.442015584264352,-0.770533870850735,1.39315098491176,1.99778455814785,-0.531247610706909,-1.00441650870076,-0.80415867356705,0.221857370618905,NA,NA,NA,NA
MarC7,0.405289956371716,-1.36439643778576,-0.949033905842322,-0.868182154886456,-0.694559273718852,-1.22717739084846,-0.853640844315418,-0.314436739231362,-0.69011038103296,-1.25145711880664,0.395510751264511,-0.346597563985498,-0.44525986542179,1.988494046946,-0.872362046094667,0.512672886813575,-0.86140316036945,1.59538809307961,1.15483276692239,-0.107536593903565,-0.688435896599874,0.562491488934076,-0.937337410184404,2.26529900968446,NA,NA,NA
MarC8,-0.804940734130727,-0.870037410333904,-0.779732689846364,-1.09787543993844,-0.896806041187206,-0.806851251203906,-0.936133404573858,-0.10503969490149,-0.687943924523623,-0.743654943275859,-0.840072682625488,-0.862088628688741,-0.734599419447591,1.07407310173642,-0.703137170203132,-0.269560069577838,-0.815431635391608,-0.854924533875513,0.208779359769247,-0.0702560808086124,0.332792941113728,-0.606995690638391,0.0560201382800687,0.780364072164898,-0.144843464060218,NA,NA
MarC9,-0.787976325233414,-1.08561833529296,-0.94442979039882,-1.0313871970314,-0.992043635381488,-0.885687692097235,-0.97952290756282,-0.477039327232225,-0.784981538521103,-1.00413583809445,-0.719429662029733,-0.952467007586253,-0.436800030977196,-0.592978640609213,-0.624673084854553,-0.537563656401045,-0.820729905856333,-0.637001265516686,-0.254441379768763,4.28124005395801,0.475789769674965,-0.504148682945856,-0.425252732051639,-0.11684413599918,-0.219772351030643,-0.262898478504099,NA
